Place_ID,Property,Address,City,State,Zip,Country
51fde6b45d57955ec059d03517adedcc4740f00103f9018a062c8c000000009203084c6164792059756d,Lady Yum,116 South Washington Street, Seattle,WA,98104, United States of America
513d8b396373955ec059558afc83edcc4740f00103f90155072c8c00000000920317496e7472696775652043686f636f6c6174657320436f2e,Intrigue Chocolates Co.,76 South Washington Street, Seattle,WA,98104, United States of America
51191bbad91f955ec05936a5ced1f4cc4740f00103f90183462c8c00000000920304536f696c,Soil,112 3rd Avenue South, Seattle,WA,98104, United States of America
5147ab5ad251955ec059e80266fdc1cc4740f00103f9015b482c8c00000000920311476c617373686f7573652053747564696f,Glasshouse Studio,311 Occidental Avenue South, Seattle,WA,98104, United States of America
51e012807f4a955ec059d9be6c7aabcc4740f00103f9018a7e2c8c0000000092031a53616c756d69204172746973616e204375726564204d65617473,Salumi Artisan Cured Meats,404 Occidental Avenue South, Seattle,WA,98104, United States of America
51db98e83d5f955ec059d2a19f8d5ccc4740f00103f901e28f2c8c000000009203124265617374204d6f6465204170706172656c,Beast Mode Apparel,558 1st Avenue South, Seattle,WA,98104, United States of America
51ee7a1ffde5935ec059f1bcaba7fbcb4740f00103f90103936d8d0000000092032053656174746c6520426f756c646572696e672050726f6a656374202d20534250,Seattle Bouldering Project - SBP,900 Poplar Place South, Seattle,WA,98144, United States of America
519d8a54185b935ec05962bc1cffaacc4740f00103f901c9b2818d0000000092031153656174746c6520466973682047757973,Seattle Fish Guys,411 23rd Avenue South, Seattle,WA,98144, United States of America
514b439e6eea935ec0598c6c536a40cc4740f00103f9013370828d0000000092031542756464202620436f2e204175746f6d6f74697665,Budd & Co. Automotive,800 Rainier Avenue South, Seattle,WA,98144, United States of America
517e2f8507cd935ec059c51c71f618cc4740f00103f901d271828d0000000092030a5468652042696b657279,The Bikery,855 Hiawatha Place South, Seattle,WA,98144, United States of America
51d94ae82e89935ec05967c479d278ce4740f00103f90161a4918d0000000092030b32302f3230204379636c65,20/20 Cycle,2020 East Union Street, Seattle,WA,98122, United States of America
51fe929e3333945ec05972504750a1cd4740f00103f9014c41948d000000009203164d697474656e20537765657473202620436f66666565,Mitten Sweets & Coffee,509 13th Avenue, Seattle,WA,98122, United States of America
519918cbf4cb955ec059cd303eb0e3cd4740f00103f901b459e68e0000000092031447686f737420416c6c657920457370726573736f,Ghost Alley Espresso,1499 Post Alley, Seattle,WA,98101, United States of America
5118838769df955ec059cab95db818ce4740f00103f901425ae68e00000000920316416e7469717565732061742050696b6520506c616365,Antiques at Pike Place,92 Stewart Street, Seattle,WA,98101, United States of America
51122ee411dc955ec05986072e84e6cd4740f00103f9018983e68e00000000920315576f726c64205370696365204d65726368616e7473,World Spice Merchants,1509 Western Avenue, Seattle,WA,98101, United States of America
