Index,Place_ID,Category
36,5161c88044206954c059c257a8c374c24440f00102f901aeccfd250000000092030e41646469736f6e204272616e6368,education.library
37,5161c88044206954c059c257a8c374c24440f00102f901aeccfd250000000092030e41646469736f6e204272616e6368,internet_access
38,5161c88044206954c059c257a8c374c24440f00102f901aeccfd250000000092030e41646469736f6e204272616e6368,internet_access.free
39,51953e9620966a54c05996d8d906f4bf4440f00102f901f13a5f2c0000000092030a4d63446f6e616c642773,building
40,51953e9620966a54c05996d8d906f4bf4440f00102f901f13a5f2c0000000092030a4d63446f6e616c642773,building.catering
41,51953e9620966a54c05996d8d906f4bf4440f00102f901f13a5f2c0000000092030a4d63446f6e616c642773,catering
42,51953e9620966a54c05996d8d906f4bf4440f00102f901f13a5f2c0000000092030a4d63446f6e616c642773,catering.fast_food
43,51953e9620966a54c05996d8d906f4bf4440f00102f901f13a5f2c0000000092030a4d63446f6e616c642773,catering.fast_food.burger
44,51953e9620966a54c05996d8d906f4bf4440f00102f901f13a5f2c0000000092030a4d63446f6e616c642773,internet_access
45,5165bfe65b456954c059fbe48ab15ec14440f00102f90102e418390000000092030c486f756768204272616e6368,building
46,5165bfe65b456954c059fbe48ab15ec14440f00102f90102e418390000000092030c486f756768204272616e6368,building.public_and_civil
47,5165bfe65b456954c059fbe48ab15ec14440f00102f90102e418390000000092030c486f756768204272616e6368,education
48,5165bfe65b456954c059fbe48ab15ec14440f00102f90102e418390000000092030c486f756768204272616e6368,education.library
49,5165bfe65b456954c059fbe48ab15ec14440f00102f90102e418390000000092030c486f756768204272616e6368,internet_access
50,5165bfe65b456954c059fbe48ab15ec14440f00102f90102e418390000000092030c486f756768204272616e6368,internet_access.free
51,5118963fdf966d54c059dfc9e4198fbd4440f00103f90162bc2fa0000000009203114672656465726963682042696379636c65,commercial
52,5118963fdf966d54c059dfc9e4198fbd4440f00103f90162bc2fa0000000009203114672656465726963682042696379636c65,commercial.outdoor_and_sport
53,5118963fdf966d54c059dfc9e4198fbd4440f00103f90162bc2fa0000000009203114672656465726963682042696379636c65,commercial.outdoor_and_sport.bicycle
54,5151fb08579b6a54c059d240edeb0ac04440f00103f901fd0503800100000092030d47726166666974692043617073,commercial
55,5151fb08579b6a54c059d240edeb0ac04440f00103f901fd0503800100000092030d47726166666974692043617073,commercial.clothing
56,5151fb08579b6a54c059d240edeb0ac04440f00103f901fd0503800100000092030d47726166666974692043617073,commercial.clothing.clothes
57,51fa4800ed7d6c54c059136ae905e9bc4440f00103f90141d9ebf5010000009203084c656176656e6564,commercial
58,51fa4800ed7d6c54c059136ae905e9bc4440f00103f90141d9ebf5010000009203084c656176656e6564,commercial.food_and_drink
59,51fa4800ed7d6c54c059136ae905e9bc4440f00103f90141d9ebf5010000009203084c656176656e6564,commercial.food_and_drink.bakery
60,514459f8fada6f54c059d8a69a9e0bbe4440f00103f901282b6c4e0200000092031c4368726973746f706869657220437573746f6d20436c6f7468696e67,commercial
61,514459f8fada6f54c059d8a69a9e0bbe4440f00103f901282b6c4e0200000092031c4368726973746f706869657220437573746f6d20436c6f7468696e67,commercial.clothing
62,514459f8fada6f54c059d8a69a9e0bbe4440f00103f901282b6c4e0200000092031c4368726973746f706869657220437573746f6d20436c6f7468696e67,commercial.clothing.clothes
63,5166b418a7826c54c059e0fb0f2d17c14440f00101f9014351a3000000000092031a526f636b20616e6420526f6c6c2048616c6c206f662046616d65,building
64,5166b418a7826c54c059e0fb0f2d17c14440f00101f9014351a3000000000092031a526f636b20616e6420526f6c6c2048616c6c206f662046616d65,building.tourism
65,5166b418a7826c54c059e0fb0f2d17c14440f00101f9014351a3000000000092031a526f636b20616e6420526f6c6c2048616c6c206f662046616d65,entertainment
66,5166b418a7826c54c059e0fb0f2d17c14440f00101f9014351a3000000000092031a526f636b20616e6420526f6c6c2048616c6c206f662046616d65,entertainment.museum
67,5166b418a7826c54c059e0fb0f2d17c14440f00101f9014351a3000000000092031a526f636b20616e6420526f6c6c2048616c6c206f662046616d65,wheelchair
68,5166b418a7826c54c059e0fb0f2d17c14440f00101f9014351a3000000000092031a526f636b20616e6420526f6c6c2048616c6c206f662046616d65,wheelchair.yes
69,51845c3dd8856d54c05956bf0472c1bd4440f00102f901ac902d06000000009203144361726e656769652057657374204272616e6368,building
70,51845c3dd8856d54c05956bf0472c1bd4440f00102f901ac902d06000000009203144361726e656769652057657374204272616e6368,building.public_and_civil
71,51845c3dd8856d54c05956bf0472c1bd4440f00102f901ac902d06000000009203144361726e656769652057657374204272616e6368,education
72,51845c3dd8856d54c05956bf0472c1bd4440f00102f901ac902d06000000009203144361726e656769652057657374204272616e6368,education.library
73,51845c3dd8856d54c05956bf0472c1bd4440f00102f901ac902d06000000009203144361726e656769652057657374204272616e6368,internet_access
74,51845c3dd8856d54c05956bf0472c1bd4440f00102f901ac902d06000000009203144361726e656769652057657374204272616e6368,internet_access.free
75,513b4186ad706c54c05900a095e72bc04440f00102f9010976520700000000920328436c6576656c616e64204d617272696f747420446f776e746f776e206174204b657920546f776572,accommodation
76,513b4186ad706c54c05900a095e72bc04440f00102f9010976520700000000920328436c6576656c616e64204d617272696f747420446f776e746f776e206174204b657920546f776572,accommodation.hotel
77,513b4186ad706c54c05900a095e72bc04440f00102f9010976520700000000920328436c6576656c616e64204d617272696f747420446f776e746f776e206174204b657920546f776572,building
78,513b4186ad706c54c05900a095e72bc04440f00102f9010976520700000000920328436c6576656c616e64204d617272696f747420446f776e746f776e206174204b657920546f776572,building.accommodation
79,513b4186ad706c54c05900a095e72bc04440f00102f9010976520700000000920328436c6576656c616e64204d617272696f747420446f776e746f776e206174204b657920546f776572,internet_access
80,513b4186ad706c54c05900a095e72bc04440f00102f9010976520700000000920328436c6576656c616e64204d617272696f747420446f776e746f776e206174204b657920546f776572,wheelchair
81,513b4186ad706c54c05900a095e72bc04440f00102f9010976520700000000920328436c6576656c616e64204d617272696f747420446f776e746f776e206174204b657920546f776572,wheelchair.yes
82,510570c785836954c05941695cf46cbe4440f00102f9013dbfbe0d0000000092030f576f6f646c616e642043616d707573,building
83,510570c785836954c05941695cf46cbe4440f00102f9013dbfbe0d0000000092030f576f6f646c616e642043616d707573,building.public_and_civil
84,510570c785836954c05941695cf46cbe4440f00102f9013dbfbe0d0000000092030f576f6f646c616e642043616d707573,education
85,510570c785836954c05941695cf46cbe4440f00102f9013dbfbe0d0000000092030f576f6f646c616e642043616d707573,education.library
86,510570c785836954c05941695cf46cbe4440f00102f9013dbfbe0d0000000092030f576f6f646c616e642043616d707573,internet_access
87,510570c785836954c05941695cf46cbe4440f00102f9013dbfbe0d0000000092030f576f6f646c616e642043616d707573,internet_access.free
88,5194822238e06b54c05999f29bd757bd4440f00102f901d788a20e0000000092032b436c6576656c616e64205075626c6963204c696272617279202d204a6566666572736f6e204272616e6368,building
89,5194822238e06b54c05999f29bd757bd4440f00102f901d788a20e0000000092032b436c6576656c616e64205075626c6963204c696272617279202d204a6566666572736f6e204272616e6368,building.public_and_civil
90,5194822238e06b54c05999f29bd757bd4440f00102f901d788a20e0000000092032b436c6576656c616e64205075626c6963204c696272617279202d204a6566666572736f6e204272616e6368,education
91,5194822238e06b54c05999f29bd757bd4440f00102f901d788a20e0000000092032b436c6576656c616e64205075626c6963204c696272617279202d204a6566666572736f6e204272616e6368,education.library
92,5194822238e06b54c05999f29bd757bd4440f00102f901d788a20e0000000092032b436c6576656c616e64205075626c6963204c696272617279202d204a6566666572736f6e204272616e6368,internet_access
93,5194822238e06b54c05999f29bd757bd4440f00102f901d788a20e0000000092032b436c6576656c616e64205075626c6963204c696272617279202d204a6566666572736f6e204272616e6368,internet_access.free
94,51fdce4076286c54c059a3f0fdf7e0c04440f00102f9017b4c340f00000000920338446f75626c65547265652062792048696c746f6e20486f74656c20436c6576656c616e6420446f776e746f776e202d204c616b6573696465,accommodation
95,51fdce4076286c54c059a3f0fdf7e0c04440f00102f9017b4c340f00000000920338446f75626c65547265652062792048696c746f6e20486f74656c20436c6576656c616e6420446f776e746f776e202d204c616b6573696465,accommodation.hotel
96,51fdce4076286c54c059a3f0fdf7e0c04440f00102f9017b4c340f00000000920338446f75626c65547265652062792048696c746f6e20486f74656c20436c6576656c616e6420446f776e746f776e202d204c616b6573696465,building
